"Name","Cost","Properties","Load"
"Cache Clearer","5c","Anxiolytic. Stimulant","1 (10)"
"Coolant Rerouter","100c","Sedative","1 (10)"
"Data Scrubber","50c","Extrapolating","1 (10)"
"EISENHOWER PROTOCOL","60c","Painkilling. Psychosis. Super Stimulant","1 (10)"
"Incoming Projectile Predictor","20c","Anesthetic","1 (10)"
"Military Auto-Tank AI Upload","50c","Psychosis. Painkilling","1 (10)"
"Military Turret Operating System","55c","Invigorating. Psychosis","1 (10)"
"Overclock Hardware","30c","Super Stimulant","1 (10)"
"Overclock Hardware v2.0","40c","Stimulant. Invigorating","1 (10)"
"Servo Override","20c","Anabolic","1 (10)"
