"Name","Cost","Properties","Load"
"Baked Bloatfly","10c","Tasty. Fortifying. Putrid",4
"Bear roast","45c","Filling. Flavorsome. Strengthening",6
"Bighorner steak","20c","Filling. Flavorsome",5
"Bloodbug Steak","25c","Bland. Regenerating. Putrid",3
"Deathclaw Egg Omelette","80c","Delicacy. Empowering. Regenerating",5
"Deathclaw","60c","Delicacy. Empowering",8
"Steak",,"Filling",
"Desert Salad","15c","Flavorsome",4
"Donut","8c","Tasty. Snack",1
"Fruit filled donut","8c","Tasty. Snack. Fortifying. Irradiated",1
"Quantum crunch donut","33c","Caffeinated. Charged. Irradiated. Snack. Tasty",1
"Fire ant fricassée","35c","Delicacy. Spicy. Putrid",6
"Gecko steak","15c","Filling. Tasty",4
"Grilled Radroach","10c","Fortifying. Tasty. Putrid",3
"Grilled Radstag","30c","Filling. Tasty. Hearty",6
"Iguana on a Stick","10c","Tasty",3
"Mole rat chunks","20c","Energizing. Tasty",3
"Mole rat stew","15c","Flavorsome",8
"Mutt chops","15c","Filling. Tasty",4
"Radscorpion egg omelette","65c","Cleansing. Flavorsome",5
"Radscorpion steak","30c","Filling. Flavorsome. Pungent",6
"Radstag stew","25c","Filling. Tasty. Pungent",8
"Ribeye steak","35c","Filling. Delicacy",6
"Roasted ant","5c","Filling. Bland. Putrid",4
"Roasted mirelurk meat","25c","Filling. Tasty. Energizing",4
"Vegetable soup","15c","Tasty. Fortifying",8
"Wasteland omelet","60c","Filling. Flavorsome. Hearty. Regenerating",4
