"Name","Cost","Properties","Load"
"Absinthe","60c","High-Proof. Addictive. Hallucinogenic. (see Chems)",2
"Atomic Cocktail","10c","Caffeinated. Energizing. Irradiated",2
"Beer","10c","Alcoholic. Addictive",2
"Coffee","15c","Caffeinated. Tasty",2
"Cowboy Coffee","5c","Caffeinated",2
"Dirty Wastelander","15c","High-Proof. Addictive",2
"Dirty water","5c","Irradiated",2
"Moonshine","40c","High-Proof. Addictive. Strengthening",2
"Nuka-Cola","15c","Caffeinated. Irradiated. Tasty. Lucky",2
"Nuka-Cola Cherry","15c","Caffeinated. Irradiated. Flavorsome",2
"Nuka-Cola Quantum","35c","Caffeinated. Charged. Irradiated. Tasty",2
"Purified water","20c","Hydrating",2
"Rum","25c","High-Proof. Addictive. Tasty",2
"Scotch","25c","High-Proof. Addictive. Tasty",2
"Sunset Sarsaparilla","10c","Flavorsome. Irradiated",2
"Vodka","40c","High-Proof. Addictive. Strengthening",2
"Wasteland Tequila","20c","High-Proof. Addictive. Lucky",2
"Whiskey","20c","High-Proof. Addictive. Lucky",2
"Dead Man's Wine","1c","Alcoholic. Addictive. Putrid. Irradiated",2
"Wasteland Wine","15c","Alcoholic. Addictive. Tasty. Irradiated",2
"Wine","20c","Alcoholic. Addictive. Tasty",2
