"Name","Cost","Properties","Load"
"BlamCo Mac & Cheese","10c","Filling. Tasty. Irradiated",4
"Canned Dog Food","4c","Filling. Tasty. Irradiated. Putrid",2
"Cram","5c","Filling. Bland. Irradiated",1
"Dandy Boy Apples","2c","Bland. Snack. Irradiated",1
"Fancy Lads Snack Cakes","4c","Tasty. Snack. Irradiated",2
"InstaMash","5c","Filling. Bland. Irradiated",6
"Noodle cup","15c","Filling. Tasty",3
"Pork n' Beans","10c","Filling. Tasty. Irradiated",2
"Potato Crisps","4c","Tasty. Snack. Irradiated",1
"Salisbury Steak","10c","Filling. Tasty. Irradiated",5
"Sugar Bombs","5c","Tasty. Irradiated",4
"Yum Yum Deviled Eggs","10c","Filling. Tasty. Irradiated",4
