"Name","Cost","Properties","Load"
"Agave Fruit","3c","Tasty. Snack. Irradiated",1
"Apple","5c","Tasty. Snack. Irradiated",1
"Yucca Fruit","6c","Bland. Refreshing. Irradiated",2
"Cactus Fruit","5c","Tasty. Refreshing. Snack. Irradiated",1
"Blackberries","8c","Tasty. Snack. Irradiated",1
"Bloodleaf","5c","Bland. Snack. Regenerating. Irradiated",1
"Brain fungus","6c","Bland. Irradiated",3
"Carrot","3c","Tasty. Snack. Irradiated",2
"Cave Fungus","6c","Bland. Snack. Irradiated",1
"Corn","3c","Tasty",2
"Cranberries","3c","Tasty. Snack. Irradiated",1
"Gourd","3c","Tasty. Filling. Irradiated",5
"Jalapeño pepper","6c","Tasty. Spicy. Snack. Irradiated",1
"Melon","3c","Tasty. Filling. Irradiated",5
"Mutfruit","3c","Tasty. Snack. Irradiated",1
"Pear","3c","Tasty. Snack. Irradiated",1
"Potato","3c","Bland. Irradiated",2
"Prickly pear fruit","3c","Tasty. Snack. Irradiated",1
"Razorgrain","3c","Bland. Snack. Irradiated",1
"Silt bean","3c","Bland. Snack. Irradiated",1
"Tarberry","3c","Tasty. Snack. Irradiated",1
"Tato","3c","Tasty. Snack. Irradiated",1
"Xander Root","2c","Bland. Snack. Irradiated",1
